Geneid	Length	180300_sort.bam	180301_sort.bam	180302_sort.bam	180306_sort.bam	180307_sort.bam	180308_sort.bam	180309_sort.bam	180310_sort.bam	180311_sort.bam	180315_sort.bam	180316_sort.bam	180317_sort.bam
TrB0127C	2265	1634	1395	1768	1279	1462	1594	1906	1460	1471	1266	1115	1359
TrB0128C	3531	1848	703	2622	1156	1896	1775	1404	1208	1099	571	468	645
TrB0129C	111	0	0	0	0	0	0	0	0	0	0	0	0
TrB0130C	1155	219	147	214	166	222	207	441	317	391	327	302	418
TrB0131C	1167	6	8	7	4	8	6	23	36	16	14	20	21
TrB0132W	1632	885	1384	618	423	681	1193	274	211	266	306	288	240
TrB0133W	5868	5430	3832	5615	4551	6053	5650	6400	5789	4663	5296	5265	6448
TrB0134W	71	3	0	2	1	0	0	0	0	0	0	0	0
TrB0135W	1956	1910	733	2343	1008	1570	1496	521	484	402	384	332	454
TrB0136W	1269	807	327	831	415	591	673	211	151	164	147	141	194
TrB0137C	1167	231	158	265	152	128	114	329	229	318	236	175	328
TrB0138W	1452	495	452	532	412	520	572	416	441	328	383	373	432
TrB0139C	1275	188	112	180	110	169	194	415	330	360	322	308	469
TrB0140W	1095	119	70	91	95	112	174	202	183	187	201	162	236
TrB0141C	3969	2814	5614	2439	2349	2862	3168	3203	1982	1879	1972	1985	2182
TrB0142W	1632	2046	4527	1679	2096	2027	2486	2142	1349	1338	1467	1315	1666
TrB0143W	960	99	89	117	79	131	117	134	127	77	94	78	94
TrB0144W	891	998	512	1031	667	1342	1429	1319	1245	1221	1276	1268	1326
TrB0145C	4974	2713	1153	3104	1860	2629	2391	1642	1559	1342	1125	1117	1522
TrB0146W	846	1	7	1	0	0	0	0	0	0	0	0	0
TrB0147C	546	0	0	1	0	0	0	0	0	0	0	0	0
TrB0148C	456	7	6	3	2	5	4	0	1	1	0	0	0
TrB0149C	1467	638	531	693	560	783	769	171	254	136	230	186	157
TrB0150C	2457	2305	2004	2230	2287	2234	2343	2797	2083	1657	2156	1864	2721
TrB0151C	576	250	659	184	289	322	405	309	257	149	254	271	289
TrB0152W	1239	1247	906	1296	1106	1024	1127	1842	1103	1184	1310	1405	1882
TrB0153C	1083	14926	8134	12034	11655	13722	13479	17554	18234	16800	19492	19446	16113
TrB0154W	642	1	3	0	1	3	3	3	2	2	4	9	4
TrB0155W	918	154	149	195	147	253	232	448	415	282	386	373	419
TrB0156W	756	123	99	158	114	173	157	280	297	180	275	238	335
TrB0157C	369	2841	11608	640	2850	1791	2857	1563	7075	1579	12723	12074	5732
TrB0158C	1191	12	10	5	4	6	5	6	7	4	1	13	5
TrB0159C	909	242	214	243	186	248	283	180	158	143	200	182	248
TrB0160W	972	431	1170	384	436	478	542	370	332	262	396	363	330
TrB0161C	2874	5690	4134	5184	5241	5419	5426	8155	6054	5662	6552	6668	8730
TrB0162W	465	255	166	242	214	285	220	264	222	194	244	198	257
TrB0163W	384	7	1	8	12	9	6	7	13	16	19	30	24
TrB0164W	603	758	639	690	589	870	948	1247	841	928	828	935	1130
TrB0165C	1350	128	61	111	101	121	130	204	196	187	199	165	282
TrB0166W	1101	60	52	106	87	92	80	148	152	127	154	108	163
TrB0167C	642	294	285	372	260	281	308	365	296	203	209	202	321
TrB0168W	2397	2936	2137	3034	2374	2390	2218	1312	1225	1032	1089	969	1122
TrB0169C	672	220	194	243	131	204	157	187	176	132	153	197	175
TrB0170C	1032	822	557	713	737	768	857	1292	979	1005	1142	990	1370
TrB0171W	1371	2707	2086	2815	2560	2819	2681	2604	2332	1830	2102	2094	2675
TrB0172W	1659	1626	1640	1469	1102	2791	3477	2554	3950	2442	5691	5722	2866
TrB0173C	2163	761	552	626	627	538	686	2028	1044	1412	1197	1265	1743
TrB0174W	534	18	21	24	22	24	19	21	31	21	26	14	34
TrB0175C	222	24	29	7	8	3	3	2	3	0	12	4	5
TrB0176W	2292	207	188	245	180	274	231	286	264	276	239	320	329
TrB0177C	3381	9	9	12	10	17	13	7	17	10	13	7	9
TrB0178W	1251	77	64	87	86	100	112	129	120	97	97	136	126
TrB0179W	675	2	5	4	5	7	3	9	8	7	8	9	23
TrB0180C	2013	495	510	385	419	596	620	974	664	571	706	758	957
TrB0181C	1566	1919	811	2083	1053	2173	2143	2698	1439	1474	1742	1592	3057
TrB0182C	2349	46	76	77	52	126	93	55	65	51	92	90	103
TrB0183C	1242	78	59	134	76	223	231	185	261	141	200	190	204
TrB0184W	999	327	320	259	279	287	291	331	265	255	274	314	263
TrB0185C	1566	25	6	18	3	9	19	7	3	6	11	12	8
TrB0186W	1866	4328	6127	3427	4176	4698	5064	10252	6367	6372	7567	7381	8974
TrB0187C	870	5	0	1	3	0	0	10	5	3	6	1	4
TrB0188C	906	2074	654	2338	1231	2058	2088	145	172	115	62	55	76
TrB0189W	948	0	0	0	0	1	1	0	0	0	0	0	0
TrB0190W	783	332	389	260	188	184	224	120	184	137	226	184	182
TrB0191W	4662	6323	2722	6122	4705	3936	4007	2439	1927	1783	2130	2019	2201
TrB0192W	1413	493	532	528	394	492	404	347	307	250	442	404	394
TrB0193W	1293	9	33	14	22	8	16	82	79	46	76	122	106
TrB0194W	714	35	41	30	45	43	55	55	22	34	40	57	60
TrB0195W	390	1698	569	2011	778	1418	1683	419	314	290	279	233	266
TrB0196C	762	0	0	0	0	1	1	0	0	0	0	0	0
TrB0197C	912	231	1443	876	291	1311	1308	133	158	92	396	485	129
TrB0198W	2178	412	741	1678	144	1725	1514	248	179	170	187	230	249
TrB0199C	3690	464	308	522	319	505	539	826	627	540	536	600	659
TrB0200C	975	19795	22288	14788	16235	20653	19268	7340	9525	6615	12870	12152	9469
TrB0201C	774	54	45	62	60	81	100	42	40	37	65	84	66
TrB0202C	462	0	7	0	0	2	1	0	0	0	0	0	0
TrB0203W	1878	31	25	32	38	56	66	40	24	25	19	21	23
TrB0204W	573	33	22	40	32	37	35	22	26	18	17	28	11
TrB0205W	465	58	16	52	20	53	50	6	14	3	5	9	7
TrB0206W	2187	19004	6206	19237	12356	13512	14591	3713	3593	3288	3051	2936	2894
TrB0207W	753	0	0	0	0	1	0	7	6	3	6	1	7
TrB0208W	672	1016	715	939	1069	994	1212	1824	1173	1224	1567	1616	1943
TrB0209C	3306	58	77	40	68	26	16	3965	3515	2417	2700	2160	1479
TrB0210C	960	1297	646	1385	737	1552	1502	641	560	552	466	403	503
TrB0211W	1971	814	515	841	532	820	822	750	761	689	919	892	937
TrB0212C	1779	86	30	75	86	460	801	44	37	43	407	466	355
TrB0213W	1245	1315	917	1617	1006	1557	1751	3756	2713	2339	2580	2570	3294
TrB0214W	2277	1053	796	1032	891	1189	1062	1952	1578	1482	1372	1480	1683
TrB0215C	981	119	163	109	65	127	112	126	162	110	370	254	295
TrB0216C	435	2	1	4	3	3	5	8	3	2	15	11	9
TrB0217W	228	50	35	38	33	43	47	81	59	54	67	102	108
TrB0218W	1359	145	168	139	113	139	153	241	259	165	512	445	418
TrB0219C	1380	1822	1147	1610	1266	1771	1998	1829	1850	1574	1821	1799	1907
TrB0220W	2301	441	307	523	402	586	564	1043	603	546	565	654	796
TrB0221C	972	0	0	0	0	0	0	0	0	0	0	0	0
TrB0222C	365	0	0	0	0	0	0	0	0	0	0	0	0
TrB0223W	1572	23	54	1	35	31	27	0	2	3	9	3	6
TrB0224C	852	271	133	287	156	309	296	257	280	220	274	235	271
TrB0225W	864	305	71	220	20	170	402	3	8	2	25	16	3
TrB0226W	627	11	9	21	10	19	18	20	20	14	16	33	17
TrB0227C	705	12	18	2	27	9	10	45	48	21	39	55	26
TrB0228C	1086	47	31	58	27	70	57	112	120	90	108	127	104
TrB0229W	1701	143	117	174	104	211	182	385	353	284	356	318	365
TrB0230C	273	1	0	3	0	4	0	3	1	1	2	0	4
TrB0231W	3957	7224	6369	5907	6287	6707	6404	10400	7534	6746	7723	8352	10418
TrB0232C	1008	10166	9287	8194	9032	10284	11763	11881	9230	9339	11211	10956	13440
TrB0233W	1656	594	553	585	514	596	634	745	607	528	600	620	678
TrB0234W	1473	447	336	358	423	499	463	1040	473	548	536	587	760
TrB0235W	759	43	57	30	22	39	28	24	26	25	14	20	33
TrB0236C	572	4	7	6	2	15	6	11	6	20	11	4	24
TrB0237W	8313	144	163	214	145	315	286	447	433	320	557	583	513
TrB0238W	1911	143	52	108	65	159	95	0	2	1	0	0	0
TrB0239C	4578	489	276	513	336	537	519	360	304	301	259	229	350
TrB0240W	2148	1580	993	1935	1146	1840	1599	469	454	369	307	229	335
TrB0241C	324	3	2	0	0	0	1	0	0	0	1	1	1
TrB0242W	837	52	103	47	62	52	31	40	36	26	37	33	28
TrB0243C	114	0	0	0	0	0	0	0	0	0	0	0	0
TrB0244C	3369	1129	604	1289	802	1421	1254	1142	923	801	777	689	1064
TrB0245W	2343	2341	1783	1849	2125	2326	2606	4554	2975	3086	3069	3260	4335
TrB0246C	894	0	1	0	0	0	0	0	0	0	0	0	0
TrB0247W	1215	201	61	217	112	197	136	214	173	148	95	89	123
TrB0248C	1329	1363	440	1138	1196	818	880	368	315	296	373	343	304
TrB0249C	2736	14	17	22	13	34	24	47	36	31	19	16	34
TrB0250W	1587	1	1	4	1	9	0	64	34	41	27	11	34
TrB0251C	1908	1004	1113	895	843	1034	1127	1455	921	972	1053	966	1280
TrB0252W	2625	4673	3027	4046	3633	4566	4705	6424	4887	4939	5016	5190	6327
TrB0253C	1185	5	10	1	0	5	9	3	3	1	12	9	4
TrB0254W	1728	7230	34174	110	7851	7432	15700	810	1018	576	1512	1845	549
TrB0255W	117	0	0	0	0	0	0	0	0	0	0	5	0
TrB0256C	453	210	108	155	121	84	58	30	35	23	7	10	9
TrB0257C	2016	9	16	12	5	23	25	3	15	8	8	19	8
TrB0258W	903	1	0	1	1	0	4	0	0	0	0	0	0
TrB0259C	1449	47	46	36	29	45	79	57	77	66	86	79	78
TrB0260W	1554	1	0	0	0	0	0	1	0	1	5	0	3
TrB0261W	261	0	0	0	0	0	0	0	0	0	0	0	0
TrB0262C	2742	46	76	71	46	100	81	56	56	30	35	37	59
TrB0263W	1506	23	68	7	25	19	21	4	12	6	4	13	3
TrB0264C	1419	1	1	0	0	1	0	1	0	0	0	0	0
TrB0265W	1776	0	0	0	0	0	0	0	0	0	0	0	0
TrB0266C	1464	328	156	379	204	414	336	12	23	4	12	12	31
TrB0267W	1731	138	134	78	95	168	148	15	20	3	9	10	23
TrB0268W	4338	2326	2196	2759	1567	4329	3530	11569	9288	7521	9985	11301	13957
TrB0269W	987	0	2	0	0	0	0	0	0	0	0	1	0
TrB0270C	1188	121	100	145	76	197	147	386	327	321	290	344	356
TrB0271C	333	126	148	163	126	204	189	218	189	154	229	206	276
TrB0272W	129	0	0	0	0	0	0	0	0	0	0	0	0
TrB0273C	1392	498	536	724	467	830	740	1267	1419	885	1329	1523	1635
TrB0274W	408	3	1	0	2	0	0	3	3	3	3	3	6
TrB0275C	1326	1737	2695	2105	1291	1953	2145	518	627	457	1002	1063	749
TrB0276W	1803	6814	5591	6590	4539	6445	7480	1460	922	1001	1390	1451	1397
TrB0277C	1359	416	914	186	539	527	409	469	186	284	232	230	294
TrB0278W	909	788	1336	601	706	952	1078	2588	1350	1490	1476	1701	1872
TrB0279W	354	0	0	0	0	1	0	0	0	0	0	0	1
TrB0280W	738	140	238	226	50	386	492	16	7	8	4	4	16
TrB0281C	1200	54	43	72	44	59	65	71	91	76	59	72	89
TrB0282C	1446	0	0	0	1	2	1	0	0	0	0	0	0
TrB0283C	1098	0	2	0	0	2	1	0	0	0	2	0	0
TrB0284C	540	18	6	3	19	13	24	29	10	13	12	19	20
TrB0285C	564	219	370	195	220	460	540	263	236	168	191	210	243
TrB0286C	1242	204	340	199	171	237	230	506	404	332	324	362	433
TrB0287W	1542	213	203	215	256	231	233	422	238	229	272	264	382
TrB0288C	510	247	96	242	167	262	215	188	157	152	189	217	210
TrB0289W	4200	5707	7609	5031	4348	5322	5706	5544	4550	3744	4629	4740	4791
TrB0290C	636	256	914	137	203	233	221	318	223	185	138	173	190
TrB0291W	357	1334	1084	1379	1307	1349	1668	1440	1365	1132	1506	1321	1695
TrB0292C	996	3	1	0	1	0	4	7	3	0	2	5	2
TrB0293C	2325	656	800	639	646	726	644	581	785	438	622	668	804
TrB0294C	3549	1532	1139	1380	1235	1484	1552	2289	1619	1298	1435	1407	1853
TrB0295W	1353	279	168	204	228	267	307	381	317	304	366	347	377
TrB0296C	450	9169	7566	7571	10276	8335	8473	13549	10696	10071	11509	11522	15955
TrB0297W	2574	123	91	142	119	166	170	313	226	193	232	223	242
TrB0298W	1473	577	1218	409	651	405	348	744	484	548	593	627	884
TrB0299W	231	2	0	1	0	2	2	0	1	0	3	0	0
TrB0300W	606	10	5	13	3	12	13	1	3	10	0	0	4
TrB0301W	894	191	157	136	111	218	151	85	115	106	126	147	85
TrB0302C	873	9	11	16	4	12	9	18	23	22	15	16	17
TrB0303W	875	9	4	4	5	7	5	2	5	7	1	3	7
TrB0304C	627	10	29	2	2	2	15	2	0	6	4	1	6
TrB0305W	669	687	1144	586	320	487	836	117	172	112	184	192	156
TrB0306W	1716	4669	6723	3955	2913	3660	5091	4688	3454	3443	3483	3750	3855
TrB0307C	288	1123	742	1014	983	1210	1198	1482	1324	1140	1325	1102	1499
TrB0308C	432	1013	692	768	833	1028	1126	1364	936	1005	1209	1210	1356
TrB0309C	675	2146	1761	1673	1982	2310	2277	2813	2328	2128	2544	2586	3129
TrB0310C	1686	267	159	250	201	226	250	359	317	344	292	244	293
TrB0311C	324	170	76	182	157	170	139	32	25	22	29	11	5
TrB0312C	945	391	239	389	212	350	405	361	289	349	352	288	398
TrB0313W	807	14	9	14	8	14	23	3	6	7	7	13	24
TrB0314C	510	1	0	3	0	0	0	0	0	0	0	0	0
TrB0315W	969	392	139	196	265	111	97	17	40	28	322	263	74
TrB0316C	723	179	140	218	108	253	226	221	289	207	327	322	322
TrB0317C	990	2377	2454	2232	1570	2267	2492	2338	1665	1686	1633	1754	1728
TrB0318W	333	365	169	421	231	349	275	314	377	288	327	286	363
TrB0319C	906	436	287	369	420	450	511	988	567	723	720	695	913
TrB0320C	1464	1441	848	1293	1135	1343	1308	3410	2366	2234	2483	2290	3305
TrB0321W	1818	3821	2921	3531	1857	2900	2684	871	957	789	797	832	726
TrB0322W	558	6067	2522	7541	3572	3866	4340	939	1486	1295	987	467	665
TrB0323C	651	1	0	0	0	4	0	0	0	0	0	0	1
TrB0324W	4449	285	304	290	268	389	309	209	137	102	145	147	145
TrB0325C	73	0	0	0	0	1	0	1	1	12	1	0	4
TrB0326W	1647	162	109	173	76	289	245	474	409	374	289	312	381
TrB0327C	774	139	62	144	82	146	155	304	246	252	229	213	203
TrB0328W	1692	9	11	16	7	14	4	136	40	51	22	45	58
TrB0329W	813	25	17	33	16	26	46	204	103	75	69	88	99
TrB0330C	1359	26	13	24	13	20	17	247	28	45	47	53	72
TrB0331C	1995	233	135	288	168	279	178	465	286	296	241	237	292
TrB0332W	1014	106	40	137	60	87	102	604	284	286	232	207	273
TrB0333W	110	0	2	6	0	1	0	0	3	0	0	0	1
TrB0334W	1662	506	1998	229	461	397	620	1318	1068	1022	1057	1168	1086
TrB0335W	2622	28295	13894	25668	19354	29516	30349	9764	7452	7285	7917	6658	8137
TrB0336C	1530	314	646	346	170	269	375	270	228	186	255	232	258
TrB0337W	459	55	26	54	33	58	64	144	97	101	94	99	107
TrB0338C	1335	421	297	481	329	570	555	704	501	443	419	414	441
TrB0339W	1119	45	49	26	31	37	51	103	57	96	61	25	51
TrB0340C	823	0	0	0	0	0	0	0	0	0	0	0	0
TrB0341W	963	0	0	0	0	0	3	1	0	0	1	0	0
TrB0342W	1833	306	181	280	134	214	212	301	305	283	111	152	209
TrB0343C	1830	4	15	1	9	5	6	5	3	2	3	5	3
TrB0344C	510	399	470	308	309	462	476	638	644	543	646	624	716
TrB0345W	4188	537	916	528	521	647	614	35399	27660	24927	20149	24344	33843
TrB0346C	3846	4130	3369	4201	2780	3208	3160	15321	7686	8580	4820	4996	6175
TrB0347C	742	15	12	37	12	27	15	9	10	8	9	2	7
TrB0348W	1212	609	410	633	392	486	480	973	542	703	365	410	497
TrB0349C	2241	3017	8263	2238	2708	3222	4272	2642	3944	2044	4766	5335	2652
TrB0350W	1026	265	634	127	212	239	375	188	350	142	449	482	302
TrB0351C	234	20	9	36	9	17	11	5	3	0	4	4	2
TrB0352W	1671	2464	774	2339	1130	1155	1156	122	199	144	231	249	182
TrB0353C	1617	16556	9802	13756	13019	12006	12581	9147	7686	7551	9085	8656	10346
TrB0354W	258	1700	1313	1809	1292	1894	1843	1233	1265	1149	1518	1401	1616
TrB0355C	1875	451	618	431	350	490	536	314	430	192	410	377	454
TrB0356W	1848	2983	2559	2514	2159	2716	2983	2854	2191	2100	2363	2591	2965
TrB0357W	3174	3029	3132	3171	2529	3178	3235	4930	3246	2993	3100	3113	4033
TrB0358W	579	40	22	61	44	63	33	85	67	66	63	73	58
TrB0359C	1674	247	179	261	211	214	243	429	302	270	351	325	495
TrB0360C	342	6390	6688	6015	5754	6398	6141	20306	20492	18539	24799	25264	24963
TrB0361C	246	782	338	480	509	755	573	1356	1309	1503	2589	2081	1515
TrB0362C	930	3	1	1	0	4	1	81	33	60	65	80	145
TrB0363W	894	0	0	0	0	0	0	0	0	0	0	2	0
TrB0364W	1854	255	230	226	151	270	259	1089	534	644	495	619	682
TrB0365C	3378	6865	4750	5962	5730	6368	6918	4884	4724	3869	4779	4628	5769
TrB0366W	2730	2926	2399	2711	2101	2860	2896	2975	2323	2437	2274	2358	2837
TrB0367C	1830	388	1647	150	444	395	480	1166	904	862	1120	1150	1420
TrB0368C	231	4	5	7	0	8	1	4	11	6	7	10	2
TrB0369C	1299	1403	6268	641	1781	1383	2315	774	1094	584	1976	1849	1035
TrB0370W	864	128	246	75	86	89	98	468	314	320	305	289	379
TrB0371C	1278	283	262	357	313	368	427	501	482	402	418	429	584
TrB0372W	1182	64	39	79	65	103	89	93	92	60	56	70	99
TrB0373W	1260	232	172	323	230	333	311	288	211	182	239	270	289
TrB0374C	1071	31	28	42	34	64	42	68	63	55	102	89	118
TrB0375C	558	201	112	168	144	237	221	303	315	254	265	344	358
TrB0376C	720	132	72	119	92	118	157	149	138	159	142	163	172
TrB0377W	1602	2308	2115	2148	2244	2467	2634	3075	2320	2209	2700	2379	3480
TrB0378W	1395	11	17	1	0	7	7	3	0	2	5	0	2
TrB0379C	891	0	0	1	0	1	0	0	2	0	0	1	0
TrB0380C	777	190	152	213	182	269	288	324	417	283	352	270	311
TrB0381W	456	336	780	250	252	437	363	350	530	258	575	551	455
TrB0382W	627	558	484	518	447	689	659	452	550	434	646	632	715
TrB0383C	1620	334	304	268	213	244	318	644	498	514	289	336	555
TrB0384W	1281	83	262	70	107	176	160	1802	1399	1378	97	68	1078
TrB0385W	3618	1754	1009	1612	1617	1939	1843	3243	1914	1809	1932	1915	2535
TrB0386C	4788	380	186	471	311	458	484	689	603	515	612	695	726
TrB0387W	1509	829	1064	750	797	882	882	1351	877	969	949	986	1345
TrB0388C	1050	283	474	196	175	126	132	10	22	24	2	9	16
TrB0389C	482	1	0	2	0	0	0	0	0	2	1	3	3
TrB0390W	1644	355	121	307	136	224	217	81	53	68	69	73	110
TrB0391C	1008	346	843	252	364	399	479	251	265	229	269	263	283
TrB0392C	1623	1100	1055	970	859	1098	1172	1421	1017	1052	1007	1011	1236
TrB0393C	804	113	59	191	122	170	241	141	132	117	204	140	157
TrB0394W	1935	179	121	226	130	266	249	345	384	294	320	400	347
TrB0395C	3312	9353	16419	6984	7675	8775	10018	5633	5561	4116	6598	5753	6732
TrB0396C	2403	2205	1527	2148	1474	2654	2716	8703	7116	6040	6634	6663	7289
TrB0397W	507	76	429	24	108	92	93	20	16	16	34	31	39
TrB0398C	1146	356	2308	356	944	701	924	293	389	194	316	263	316
TrB0399W	1791	343	610	292	319	509	495	529	645	437	763	800	811
TrB0400W	942	191	95	214	145	397	462	38	87	37	163	140	100
TrB0401C	1236	6216	3126	6658	2965	6045	6482	916	1167	828	1407	1303	1073
TrB0402W	1146	1478	886	1690	891	1376	1511	2104	1648	1615	1418	1297	1582
TrB0403C	534	1418	776	1611	1060	1685	1100	1169	1024	854	575	532	813
TrB0404W	252	0	0	0	0	0	0	0	0	0	0	0	0
TrB0405C	750	0	2	0	0	0	0	0	0	0	0	0	0
TrB0406C	993	0	0	0	0	0	0	0	0	0	0	0	0
TrB0407W	387	0	0	0	0	0	0	0	0	0	0	0	0
TrB0408W	1764	6	29	10	6	21	3	0	0	0	1	0	0
TrB0409C	3489	2865	3281	2371	2942	3036	3130	3971	2928	2690	3376	3270	4809
TrB0410W	1158	293	249	346	210	387	343	518	492	376	402	511	662
TrB0411W	1209	227	182	294	206	371	321	399	368	294	340	323	517
TrB0412C	1068	34	31	33	44	41	27	35	32	25	44	55	57
TrB0413C	1500	604	954	436	449	674	675	94	110	81	68	86	93
TrB0414W	2067	281	815	100	364	444	465	86	58	49	70	80	86
TrB0415C	957	3	2	1	0	2	3	2	0	1	0	0	0
TrB0416W	2142	119	81	181	88	188	145	101	110	76	105	95	117
TrB0417W	1632	169	170	227	148	286	273	103	96	70	136	138	139
TrB0418W	507	12	16	26	10	35	16	9	13	11	25	17	108
TrB0419C	315	1	2	0	0	2	5	1	8	2	33	13	253
TrB0420C	330	0	0	0	0	1	0	0	1	1	8	3	30
TrB0421C	261	0	0	1	1	0	1	13	16	22	46	38	159
TrB0422C	1077	3	39	6	20	5	11	4	4	3	3	7	12
TrB0423W	900	19	81	0	37	9	20	0	0	0	1	0	0
TrB0424C	957	806	348	669	378	589	601	19	44	48	36	48	47
TrB0425C	1590	2241	1241	2181	1500	1899	1700	1463	1280	1022	1179	1141	1313
TrB0426W	393	126	63	214	87	132	139	77	62	61	79	49	75
TrB0427W	906	45	37	44	29	68	65	11	17	8	18	10	11
TrB0428W	990	0	0	0	0	0	0	0	0	0	0	0	0
TrB0429C	1539	3	16	1	4	4	2	0	0	0	2	0	2
TrB0430C	762	12	11	21	11	43	58	0	0	0	0	0	3
TrB0431W	1020	34	11	29	1	45	58	0	0	2	3	0	0
TrB0432C	1779	1345	1237	1131	1195	892	636	70	126	57	164	178	123
TrB0433W	753	1	3	3	0	5	1	1	4	0	8	6	9
TrB0434W	1794	1011	1117	1260	953	1563	1469	2862	2527	1947	2151	2288	2436
TrB0435C	1380	8794	3825	7502	9626	6158	5126	5	44	3	0	7	0
TrB0436C	1596	114	57	94	104	140	148	64	35	25	52	57	72
TrB0437W	1707	33	36	37	37	60	43	5	6	6	25	8	27
TrB0438W	978	7	0	0	0	0	0	1	3	1	6	6	2
TrB0439C	1074	98	68	88	61	67	63	1	2	1	10	9	1
TrB0440W	1692	239	254	150	109	119	160	65	58	36	42	31	31
TrB0441W	870	100	160	185	56	260	228	33	81	36	109	87	55
TrB0442C	567	217	125	206	143	243	173	246	252	213	268	284	336
TrB0443C	1098	0	0	0	0	0	0	0	0	0	0	0	0
TrB0444C	987	0	0	0	0	0	0	0	0	0	0	0	0
TrB0445C	270	297	285	302	279	263	245	858	533	559	431	423	674
TrB0446C	1782	1160	1150	1338	1052	1022	893	3276	1852	2364	1617	1663	2465
TrB0447W	918	624	474	507	553	541	634	968	625	702	804	857	1044
TrB0448C	3198	3613	2557	3214	2888	3667	3454	3822	4574	3300	4907	5034	5329
TrB0449W	1191	80	57	78	86	81	62	99	85	89	130	120	161
TrB0450W	1467	1791	811	2052	844	1099	1444	1638	758	1095	505	554	639
TrB0451W	2367	2673	2285	1930	2452	2342	2708	4833	3114	3350	3723	3744	4778
TrB0452W	1962	1717	1604	1531	1256	1620	2003	898	810	707	774	870	834
TrB0453C	504	435	274	363	285	381	366	603	437	457	472	340	649
TrB0454C	1542	363	929	244	503	573	664	176	176	130	354	327	273
TrB0455W	1206	951	892	810	817	902	1009	1305	813	871	1009	1045	1332
TrB0456W	420	1181	682	980	820	1251	1028	876	990	878	946	1070	1190
TrB0457W	1551	694	514	675	668	685	641	1034	842	713	786	721	914
TrB0458C	876	0	1	2	0	1	0	0	0	0	1	0	0
TrB0459C	1227	156	86	182	103	208	188	75	62	32	66	105	100
TrB0460C	1515	11	15	11	3	37	23	36	30	27	11	19	30
TrB0461C	750	328	302	348	247	475	372	163	215	141	177	179	177
TrB0462C	274	0	0	0	0	0	0	0	0	0	0	1	0
TrB0463C	804	0	0	0	0	0	4	1	0	0	2	0	0
TrB0464C	570	59	46	43	52	43	58	189	198	122	122	107	111
TrB0465C	1198	54	29	52	44	68	63	35	25	35	41	62	49
TrB0466W	972	19	25	9	13	11	19	52	54	24	54	38	31
TrB0467W	771	57	239	12	71	44	36	4	15	8	91	98	30
TrB0468C	606	2582	2222	3296	892	3950	4623	905	1367	943	1735	1739	1364
TrB0469C	1398	1110	804	1261	756	993	1180	2734	1540	1605	829	935	1060
TrB0470C	1215	1187	1720	909	1006	1056	1462	934	974	732	1120	1095	1082
TrB0471W	1950	216	236	280	238	349	369	393	259	228	285	313	316
TrB0472C	573	1656	1232	1447	1544	1695	1527	2055	1820	1616	1970	2003	2478
TrB0473C	429	130	33	120	38	105	118	34	11	20	10	16	6
TrB0474W	243	246	71	292	134	219	270	125	118	99	108	91	104
TrB0475C	360	866	818	638	733	1007	1283	1021	1011	935	1302	1059	1025
TrB0476W	3780	4657	4052	4272	3513	4506	4568	7113	3873	4290	4046	3955	4932
TrB0477C	1296	540	671	416	398	547	604	767	501	610	585	585	658
TrB0478W	2958	672	627	660	558	700	646	1013	681	666	740	739	864
TrB0479C	963	7	7	8	2	15	15	9	10	11	16	14	15
TrB0480W	726	307	272	306	252	293	421	556	310	388	396	480	403
TrB0481W	1251	777	530	675	531	665	768	1143	899	831	847	892	1118
TrB0482W	3309	1222	997	1005	1162	1144	1178	1193	986	824	1026	917	1206
TrB0483C	363	258	156	273	234	233	260	312	315	261	339	294	374
TrB0484W	1425	724	853	501	759	670	689	1047	720	848	848	777	1214
TrB0485C	948	1643	1229	1932	1446	1581	1614	1168	1161	848	1069	981	1434
TrB0486C	1638	397	392	375	373	654	546	205	200	140	261	252	266
TrB0487C	5154	1720	1004	1681	1708	1791	1679	3941	2078	2132	2012	2074	2672
TrB0488W	1413	610	460	595	536	601	617	737	667	515	779	657	709
TrB0489W	828	156	95	89	127	139	136	133	124	99	142	126	174
TrB0490C	690	77	117	96	63	49	70	50	34	40	50	34	53
TrB0491C	531	8241	5043	6436	7419	7239	7264	10180	8248	8753	10147	8994	11391
TrB0492W	1359	398	252	434	401	473	410	537	521	404	459	409	600
TrB0493C	846	61	85	65	67	124	95	154	142	155	114	138	146
TrB0494C	984	210	109	206	125	216	219	249	248	190	272	228	316
TrB0495W	1179	1220	792	1197	992	1501	1306	1436	1170	950	1043	953	1231
TrB0496C	975	12576	9382	10524	11915	11492	9897	1969	1411	1358	2514	2826	2624
TrB0497W	3501	200	152	213	207	205	137	119	99	76	155	151	122
TrB0498C	498	83	35	110	64	56	52	80	101	65	55	60	26
TrB0499C	2478	1180	721	1512	898	1453	1355	2045	1585	1256	1425	1353	2012
TrB0500C	1443	81	90	99	90	122	109	70	75	46	58	77	82
TrB0501C	1040	3	9	7	5	8	5	17	20	14	10	14	23
TrB0502C	336	1	2	2	0	0	2	0	1	0	0	2	0
TrB0503W	1404	1550	1282	1198	1183	1387	1390	1359	1090	1037	1097	1166	1466
TrB0504C	356	1	0	0	2	2	1	2	1	0	3	3	3
TrB0505W	417	892	640	987	901	942	826	1071	899	750	1009	871	1368
TrB0506W	3756	660	396	773	602	770	740	758	725	513	618	679	870
TrB0507C	354	500	1014	282	403	406	413	145	209	167	215	207	154
